Metro Code,CSA Code,Metro Name,CSA Title,County Name,State Name,FIPS State Code,FIPS County Code,Central/Outlying County
45900,,"Traverse City, MI",,Leelanau County,Michigan,26,89,Outlying
45940,408,"Trenton-Princeton, NJ","New York-Newark, NY-NJ-CT-PA",Mercer County,New Jersey,34,21,Central
45980,,"Troy, AL",,Pike County,Alabama,1,109,Central
46020,472,"Truckee-Grass Valley, CA","Sacramento-Roseville, CA",Nevada County,California,6,57,Central
46060,536,"Tucson, AZ","Tucson-Nogales, AZ",Pima County,Arizona,4,19,Central
46100,,"Tullahoma-Manchester, TN",,Coffee County,Tennessee,47,31,Central
46100,,"Tullahoma-Manchester, TN",,Franklin County,Tennessee,47,51,Outlying
46100,,"Tullahoma-Manchester, TN",,Moore County,Tennessee,47,127,Outlying
46140,538,"Tulsa, OK","Tulsa-Muskogee-Bartlesville, OK",Creek County,Oklahoma,40,37,Central
46140,538,"Tulsa, OK","Tulsa-Muskogee-Bartlesville, OK",Okmulgee County,Oklahoma,40,111,Outlying
46140,538,"Tulsa, OK","Tulsa-Muskogee-Bartlesville, OK",Osage County,Oklahoma,40,113,Central
46140,538,"Tulsa, OK","Tulsa-Muskogee-Bartlesville, OK",Pawnee County,Oklahoma,40,117,Outlying
46140,538,"Tulsa, OK","Tulsa-Muskogee-Bartlesville, OK",Rogers County,Oklahoma,40,131,Outlying
46140,538,"Tulsa, OK","Tulsa-Muskogee-Bartlesville, OK",Tulsa County,Oklahoma,40,143,Central
46140,538,"Tulsa, OK","Tulsa-Muskogee-Bartlesville, OK",Wagoner County,Oklahoma,40,145,Central
46180,539,"Tupelo, MS","Tupelo-Corinth, MS",Itawamba County,Mississippi,28,57,Outlying
46180,539,"Tupelo, MS","Tupelo-Corinth, MS",Lee County,Mississippi,28,81,Central
46180,539,"Tupelo, MS","Tupelo-Corinth, MS",Pontotoc County,Mississippi,28,115,Outlying
46180,539,"Tupelo, MS","Tupelo-Corinth, MS",Prentiss County,Mississippi,28,117,Outlying
46220,,"Tuscaloosa, AL",,Greene County,Alabama,1,63,Outlying
46220,,"Tuscaloosa, AL",,Hale County,Alabama,1,65,Outlying
46220,,"Tuscaloosa, AL",,Pickens County,Alabama,1,107,Outlying
